date,time,Station,District,Route,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,Delay (V_t=35),Delay (V_t=40),Delay (V_t=45),Delay (V_t=50),Delay (V_t=55),Delay (V_t=60)
02/15/2022,00:00:00,716126,7,10,E,ML,0.475,0,0,1605,0.0409,64.7,0,0,0,0,0,0
02/15/2022,00:00:00,716142,7,210,E,ML,0.8,448,100,1427,0.0275,71.2,0,0,0,0,0,0.1
02/15/2022,00:00:00,716143,7,210,E,ML,0.65,448,100,1097,0.0213,70.3,0,0,0,0,0,0
02/15/2022,00:00:00,716146,7,10,W,ML,0.5,420,17,2271,0.174,66.6,0,0,0,0,0,0.1
02/15/2022,00:00:00,716152,7,10,E,ML,0.48,448,50,1569,0.0331,67.9,0,0,0,0,0,0
02/15/2022,00:00:00,716153,7,10,W,ML,0.48,560,40,1870,0.0332,65.9,0,0,0,0,0,0.1
02/15/2022,00:00:00,716172,7,10,E,ML,0.695,447,50,1365,0.0269,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716174,7,10,W,ML,0.625,448,100,1215,0.014,73.1,0,0,0,0,0,0
02/15/2022,00:00:00,716176,7,10,W,ML,0.39,560,100,1480,0.0222,72.1,0,0,0,0,0,0
02/15/2022,00:00:00,716181,7,10,E,ML,0.89,1040,0,4136,0.0709,61.4,0,0,0,0,0,1.2
02/15/2022,00:00:00,716187,7,10,E,ML,0.515,808,75,3048,0.0518,66.7,0,0,0,0,0,0
02/15/2022,00:00:00,716193,7,10,W,ML,0.2,448,100,2841,0.0859,68.3,0,0,0,0,0.2,0.3
02/15/2022,00:00:00,716203,7,57,N,ML,0.56,240,33,175,0.0058,64.6,0,0,0,0,0,0
02/15/2022,00:00:00,716206,7,60,W,ML,0.54,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716213,7,60,E,ML,0.47,0,0,2025,0.0307,69.3,0,0,0,0,0,0
02/15/2022,00:00:00,716235,7,60,E,ML,0.56,0,0,859,0.0316,67.9,0,0,0,0,0,0
02/15/2022,00:00:00,716237,7,60,E,ML,0.535,0,0,2025,0.0307,69.7,0,0,0,0,0,0
02/15/2022,00:00:00,716238,7,60,W,ML,0.569,0,0,1383,0.0247,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,716241,7,60,W,ML,0.45,480,100,1290,0.0343,71.3,0,0,0,0,0,0
02/15/2022,00:00:00,716253,7,60,W,ML,0.25,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716254,7,60,E,ML,0.18,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716265,7,60,E,ML,0.405,448,75,1918,0.0537,67.7,0,0,0,0,0,0.1
02/15/2022,00:00:00,716271,7,71,S,ML,1.218,0,0,436,0.0749,51.3,0,0.1,0.4,0.8,1.3,1.7
02/15/2022,00:00:00,716272,7,91,E,ML,0.333,0,0,359,0.0195,65.6,0,0,0,0,0,0
02/15/2022,00:00:00,716273,7,91,E,ML,0.525,336,67,664,0.0221,66.2,0,0,0,0,0,0
02/15/2022,00:00:00,716295,7,91,W,ML,0.405,560,100,1603,0.0226,71.2,0,0,0,0,0,0
02/15/2022,00:00:00,716296,7,91,E,ML,0.53,392,60,3430,0.0392,70.2,0,0,0,0,0,0
02/15/2022,00:00:00,716311,7,91,W,ML,0.52,560,0,2519,0.0505,64.6,0,0,0,0,0,0.1
02/15/2022,00:00:00,716312,7,91,E,ML,0.52,672,0,1810,0.0399,65.8,0,0,0,0,0,0
02/15/2022,00:00:00,716313,7,91,E,ML,0.575,0,0,953,0.0263,48.1,0,0.1,0.4,1,1.7,2.4
02/15/2022,00:00:00,716314,7,91,W,ML,0.575,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716328,7,101,S,ML,0.365,0,0,2025,0.0307,69.3,0,0,0,0,0,0
02/15/2022,00:00:00,716331,7,101,S,ML,0.355,0,0,1716,0.0339,67.5,0,0,0,0,0,0
02/15/2022,00:00:00,716337,7,101,N,ML,0.46,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716339,7,101,S,ML,0.525,0,0,2220,0.0339,68.4,0,0,0,0,0,0
02/15/2022,00:00:00,716359,7,101,N,ML,0.565,480,100,2265,0.025,73.1,0,0,0,0,0,0
02/15/2022,00:00:00,716390,7,101,S,ML,0.79,444,75,704,0.0198,70.8,0,0,0,0,0,0
02/15/2022,00:00:00,716391,7,101,S,ML,0.76,0,0,1057,0.0381,67.6,0,0,0,0,0,0
02/15/2022,00:00:00,716392,7,101,S,ML,0.6,0,0,1013,0.037,64,0,0,0,0,0,0
02/15/2022,00:00:00,716402,7,105,W,ML,0.75,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716404,7,105,W,ML,0.35,336,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716405,7,105,W,ML,0.45,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716407,7,105,W,ML,0.65,112,0,1254,0.0377,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716409,7,105,W,ML,0.75,336,33,713,0.0173,65.2,0,0,0,0,0,0
02/15/2022,00:00:00,716413,7,105,W,ML,0.6,0,0,2176,0.0522,64.6,0,0,0,0,0,0.1
02/15/2022,00:00:00,716414,7,105,E,ML,0.5,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716419,7,105,E,ML,0.55,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716420,7,105,W,ML,0.6,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716421,7,105,E,ML,0.55,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716422,7,105,W,ML,0.5,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716424,7,105,E,ML,0.6,0,0,148,0.0064,65.7,0,0,0,0,0,0
02/15/2022,00:00:00,716426,7,105,W,ML,0.495,0,0,1163,0.019,67.8,0,0,0,0,0,0
02/15/2022,00:00:00,716427,7,105,E,ML,0.32,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716428,7,105,W,ML,0.55,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716431,7,105,E,ML,0.3,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716432,7,105,W,HV,0.3,0,0,149,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716433,7,105,E,ML,0.3,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716434,7,105,W,ML,0.3,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716437,7,105,W,ML,0.65,0,0,1107,0.0227,67.6,0,0,0,0,0,0
02/15/2022,00:00:00,716440,7,105,E,ML,0.6,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716441,7,105,W,ML,0.4,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716442,7,105,E,ML,0.6,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716443,7,105,W,ML,0.45,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716448,7,105,W,ML,0.5,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716449,7,105,E,ML,0.65,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716450,7,105,W,ML,0.455,0,0,3960,0.0353,69.5,0,0,0,0,0,0
02/15/2022,00:00:00,716453,7,105,E,ML,0.305,0,0,3246,0.0426,68.7,0,0,0,0,0,0
02/15/2022,00:00:00,716456,7,105,E,ML,0.47,0,0,3247,0.0426,69.3,0,0,0,0,0,0
02/15/2022,00:00:00,716457,7,105,W,ML,0.55,0,0,148,0.0064,65.7,0,0,0,0,0,0
02/15/2022,00:00:00,716459,7,105,W,ML,0.45,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716460,7,105,E,ML,0.4,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716461,7,105,W,ML,0.35,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716466,7,105,E,ML,0.45,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716470,7,105,E,ML,0.665,360,50,2426,0.079,67.6,0,0,0,0,0,0.1
02/15/2022,00:00:00,716471,7,105,W,ML,0.55,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716481,7,110,S,ML,0.67,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716484,7,110,N,ML,0.77,112,0,2248,0.0435,63.9,0,0,0,0,0,0.1
02/15/2022,00:00:00,716485,7,110,S,ML,0.555,0,0,1215,0.0262,69.3,0,0,0,0,0,0
02/15/2022,00:00:00,716490,7,110,N,ML,0.445,0,0,1208,0.0259,69.8,0,0,0,0,0,0
02/15/2022,00:00:00,716491,7,110,S,ML,0.515,0,0,1268,0.0268,63.4,0,0,0,0,0,0.1
02/15/2022,00:00:00,716494,7,110,S,ML,0.32,560,100,1194,0.0166,70.8,0,0,0,0,0,0
02/15/2022,00:00:00,716495,7,110,N,ML,0.27,560,100,2220,0.0322,67.4,0,0,0,0,0,0.1
02/15/2022,00:00:00,716499,7,110,N,ML,0.39,560,0,2032,0.0307,70,0,0,0,0,0,0
02/15/2022,00:00:00,716500,7,110,S,ML,0.795,672,50,2739,0.0376,65.6,0,0,0,0,0,0.2
02/15/2022,00:00:00,716541,7,118,E,HV,0.495,112,100,1,1e-4,64.8,0,0,0,0,0,0
02/15/2022,00:00:00,716551,7,134,W,ML,0.556,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716554,7,134,W,ML,0.355,224,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716571,7,170,S,ML,1.16,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716573,7,170,S,ML,0.325,0,0,149,0.0064,65,0,0,0,0,0,0
02/15/2022,00:00:00,716626,7,405,S,ML,0.26,559,60,1107,0.0147,70.1,0,0,0,0,0,0
02/15/2022,00:00:00,716632,7,405,N,ML,0.385,559,100,1036,0.0159,71.7,0,0,0,0,0,0
02/15/2022,00:00:00,716659,7,405,N,ML,0.365,558,80,1296,0.0215,69.9,0,0,0,0,0,0
02/15/2022,00:00:00,716660,7,405,S,ML,0.375,0,0,2081,0.0392,66.8,0,0,0,0,0,0
02/15/2022,00:00:00,716663,7,405,N,ML,0.355,433,100,837,0.0163,70,0,0,0,0,0,0
02/15/2022,00:00:00,716670,7,405,N,ML,0.545,0,0,1569,0.0411,65,0,0,0,0,0,0
02/15/2022,00:00:00,716674,7,405,S,ML,0.48,445,100,1435,0.0247,71.1,0,0,0,0,0,0
02/15/2022,00:00:00,716689,7,405,N,ML,0.385,560,80,1473,0.0227,70.2,0,0,0,0,0,0
02/15/2022,00:00:00,716694,7,405,N,ML,0.488,559,80,1084,0.0163,70.4,0,0,0,0,0,0
02/15/2022,00:00:00,716714,7,405,N,ML,0.22,560,100,2056,0.029,71.9,0,0,0,0,0,0
02/15/2022,00:00:00,716719,7,405,S,ML,0.335,0,0,4466,0.1051,70,0,0,0,0,0,0
02/15/2022,00:00:00,716720,7,405,N,ML,0.41,0,0,2837,0.0489,65.3,0,0,0,0,0,0.2
02/15/2022,00:00:00,716733,7,405,N,ML,0.59,560,100,2290,0.0307,72.6,0,0,0,0,0,0
02/15/2022,00:00:00,716738,7,405,N,ML,0.605,672,83,2474,0.0317,71,0,0,0,0,0,0
02/15/2022,00:00:00,716739,7,405,N,ML,0.425,0,0,2963,0.0402,68.6,0,0,0,0,0,0
02/15/2022,00:00:00,716760,7,605,N,ML,0.47,448,100,863,0.0129,67.6,0,0,0,0,0,0
02/15/2022,00:00:00,716775,7,605,S,ML,0.535,0,0,1499,0.0299,63.9,0,0,0,0,0,0
02/15/2022,00:00:00,716776,7,605,S,ML,0.56,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716778,7,605,S,ML,0.42,0,0,2452,0.0332,65.4,0,0,0,0,0,0
02/15/2022,00:00:00,716784,7,605,N,ML,0.465,560,100,1332,0.0159,70.4,0,0,0,0,0,0
02/15/2022,00:00:00,716788,7,605,N,ML,0.24,224,40,1522,0.0226,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,716797,7,605,S,ML,0.598,0,0,1715,0.0339,67.6,0,0,0,0,0,0
02/15/2022,00:00:00,716800,7,605,N,ML,0.557,0,0,1654,0.034,72.9,0,0,0,0,0,0
02/15/2022,00:00:00,716810,7,605,S,ML,0.453,0,0,2432,0.0957,63.3,0,0,0,0,0,0.2
02/15/2022,00:00:00,716819,7,605,N,ML,0.473,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716829,7,605,N,ML,0.97,0,0,1490,0.05,68.3,0,0,0,0,0,0
02/15/2022,00:00:00,716834,7,605,N,ML,0.401,448,100,1623,0.0281,72.2,0,0,0,0,0,0
02/15/2022,00:00:00,716841,7,605,N,ML,0.426,448,100,1000,0.0144,68.9,0,0,0,0,0,0
02/15/2022,00:00:00,716847,7,710,S,ML,0.665,336,0,1573,0.0402,67.6,0,0,0,0,0,0
02/15/2022,00:00:00,716857,7,710,S,ML,0.493,112,0,1383,0.0247,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,716875,7,710,S,ML,0.265,480,0,1381,0.0371,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716891,7,710,S,ML,0.435,0,0,1262,0.0435,66.3,0,0,0,0,0,0
02/15/2022,00:00:00,716895,7,5,S,ML,0.575,442,50,1898,0.0469,70.3,0,0,0,0,0,0
02/15/2022,00:00:00,716896,7,5,N,ML,0.455,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,716898,7,5,S,ML,0.66,0,0,2029,0.0307,69.4,0,0,0,0,0,0
02/15/2022,00:00:00,716899,7,5,N,ML,0.425,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716900,7,5,N,ML,0.46,0,0,1384,0.0247,68.2,0,0,0,0,0,0
02/15/2022,00:00:00,716902,7,5,S,ML,0.385,0,0,1706,0.0295,68.4,0,0,0,0,0,0
02/15/2022,00:00:00,716904,7,5,N,ML,0.265,0,0,1706,0.0295,68.4,0,0,0,0,0,0
02/15/2022,00:00:00,716906,7,5,S,ML,0.5,0,0,2029,0.0307,69.4,0,0,0,0,0,0
02/15/2022,00:00:00,716907,7,5,S,ML,0.41,0,0,2029,0.0307,69.4,0,0,0,0,0,0
02/15/2022,00:00:00,716908,7,5,S,ML,0.635,0,0,2029,0.0307,69.4,0,0,0,0,0,0
02/15/2022,00:00:00,716911,7,5,S,ML,0.47,0,0,1706,0.0295,68.4,0,0,0,0,0,0
02/15/2022,00:00:00,716912,7,5,S,ML,0.875,0,0,2029,0.0307,69.4,0,0,0,0,0,0
02/15/2022,00:00:00,716916,7,5,S,ML,0.275,0,0,1978,0.0436,67.1,0,0,0,0,0,0
02/15/2022,00:00:00,716918,7,5,S,ML,0.36,447,100,1916,0.039,72.1,0,0,0,0,0,0
02/15/2022,00:00:00,716920,7,5,S,ML,0.415,448,100,1900,0.0297,71.8,0,0,0,0,0,0
02/15/2022,00:00:00,716921,7,5,N,ML,0.415,448,75,1810,0.0325,72.8,0,0,0,0,0,0
02/15/2022,00:00:00,716922,7,5,S,ML,0.485,448,100,1950,0.033,72.4,0,0,0,0,0,0
02/15/2022,00:00:00,716923,7,5,N,ML,0.485,448,100,1807,0.0278,72.5,0,0,0,0,0,0
02/15/2022,00:00:00,716924,7,5,S,ML,0.44,448,100,1845,0.0328,70.9,0,0,0,0,0,0
02/15/2022,00:00:00,716925,7,5,N,ML,0.44,448,75,2057,0.0396,68.9,0,0,0,0,0,0
02/15/2022,00:00:00,716928,7,5,S,ML,0.421,448,50,1903,0.0435,67.6,0,0,0,0,0,0
02/15/2022,00:00:00,716929,7,5,N,ML,0.421,448,100,2024,0.034,71.6,0,0,0,0,0,0
02/15/2022,00:00:00,716930,7,5,S,ML,0.323,448,100,1965,0.04,69.7,0,0,0,0,0,0
02/15/2022,00:00:00,716933,7,5,N,ML,0.565,448,60,2982,0.0467,74.6,0,0,0,0,0,0
02/15/2022,00:00:00,716934,7,5,S,ML,0.546,560,100,2756,0.0429,71.6,0,0,0,0,0,0
02/15/2022,00:00:00,716936,7,5,S,ML,0.4,553,100,2697,0.052,62.9,0.1,0.3,0.5,0.9,1.3,1.6
02/15/2022,00:00:00,716937,7,5,N,ML,0.495,0,0,1759,0.0288,69.5,0,0,0,0,0,0
02/15/2022,00:00:00,716938,7,5,S,ML,0.835,0,0,1762,0.0288,69,0,0,0,0,0,0
02/15/2022,00:00:00,716939,7,5,S,ML,0.72,0,0,1759,0.0288,69.5,0,0,0,0,0,0
02/15/2022,00:00:00,716940,7,5,S,ML,0.575,112,0,1759,0.0288,69.5,0,0,0,0,0,0
02/15/2022,00:00:00,716941,7,5,S,ML,0.39,0,0,1483,0.0456,64.5,0,0,0,0,0,0.1
02/15/2022,00:00:00,716942,7,5,N,ML,1.935,448,60,1936,0.0284,70.6,0,0,0,0,0,0
02/15/2022,00:00:00,716943,7,5,S,ML,0.43,336,50,1222,0.0309,67.1,0,0,0,0,0,0.1
02/15/2022,00:00:00,716944,7,5,S,ML,0.81,0,0,1608,0.0494,65.5,0,0,0,0,0,0.1
02/15/2022,00:00:00,716946,7,5,S,ML,0.625,0,0,1159,0.0317,69.9,0,0,0,0,0,0
02/15/2022,00:00:00,716949,7,5,S,ML,0.57,560,80,1485,0.0179,70.9,0,0,0,0,0,0
02/15/2022,00:00:00,716951,7,5,N,ML,0.735,0,0,1762,0.0288,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,716953,7,5,N,ML,0.465,560,80,2188,0.0408,71.5,0,0,0,0,0,0
02/15/2022,00:00:00,716955,7,5,S,ML,0.465,0,0,2411,0.0474,63.9,0,0,0,0,0,0.1
02/15/2022,00:00:00,716956,7,5,N,ML,0.55,560,40,1318,0.0322,67.6,0,0,0,0,0,0
02/15/2022,00:00:00,716958,7,5,S,ML,0.704,424,80,1120,0.22,56.3,27.9,28.4,28.8,29.1,29.4,29.6
02/15/2022,00:00:00,716960,7,5,S,ML,0.48,336,50,934,0.0404,67.7,0,0,0,0,0,0
02/15/2022,00:00:00,716963,7,5,N,ML,0.36,224,25,1736,0.0408,66,0,0,0,0,0,0
02/15/2022,00:00:00,716965,7,5,S,ML,0.27,0,0,1795,0.0447,65.2,0,0,0,0,0,0
02/15/2022,00:00:00,716968,7,5,N,ML,0.315,448,100,1172,0.0193,68.3,0,0,0,0,0,0
02/15/2022,00:00:00,716971,7,5,N,ML,0.265,448,100,1414,0.0274,70,0,0,0,0,0,0
02/15/2022,00:00:00,716973,7,5,N,ML,0.435,448,75,1593,0.0311,68,0,0,0,0,0,0.1
02/15/2022,00:00:00,716974,7,5,N,ML,0.76,448,100,2177,0.1867,34.3,90.5,93.6,96.1,98,99.6,101
02/15/2022,00:00:00,716975,7,5,S,ML,0.505,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716977,7,5,S,ML,0.495,0,0,1694,0.042,64.6,0,0,0,0,0,0
02/15/2022,00:00:00,716978,7,5,N,ML,0.71,0,0,2267,0.0591,62.3,0,0,0,0,0,0.4
02/15/2022,00:00:00,716979,7,5,S,ML,0.765,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716981,7,5,N,ML,0.72,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716983,7,5,S,ML,0.795,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716985,7,5,N,ML,0.86,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716986,7,5,S,ML,0.905,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716988,7,5,N,ML,1.155,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716989,7,5,S,ML,0.65,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716990,7,5,N,ML,0.915,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716991,7,5,S,ML,0.505,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716993,7,5,S,ML,0.65,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716994,7,5,N,ML,0.51,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716996,7,5,S,ML,0.415,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716997,7,5,N,ML,0.55,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,716999,7,5,S,ML,0.48,0,0,150,0.0064,65.1,0,0,0,0,0,0
02/15/2022,00:00:00,717000,7,5,N,ML,0.84,0,0,1639,0.0369,65.8,0,0,0,0,0,0.2
02/15/2022,00:00:00,717001,7,5,S,ML,0.84,0,0,1314,0.029,64.7,0,0,0,0,0,0.2
02/15/2022,00:00:00,717002,7,5,S,ML,0.54,448,100,1025,0.0163,69.3,0,0,0,0,0,0
02/15/2022,00:00:00,717004,7,5,S,ML,0.27,672,83,1480,0.0208,68.5,0,0,0,0,0,0
02/15/2022,00:00:00,717006,7,5,S,ML,0.435,0,0,1926,0.0283,66,0,0,0,0,0,0
02/15/2022,00:00:00,717008,7,10,E,ML,0.36,0,0,1383,0.0247,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,717009,7,10,E,ML,0.535,0,0,2067,0.0294,70.3,0,0,0,0,0,0
02/15/2022,00:00:00,717011,7,10,E,ML,0.28,0,0,1353,0.0156,71.7,0,0,0,0,0,0
02/15/2022,00:00:00,717012,7,10,W,ML,0.46,0,0,1762,0.0288,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,717014,7,10,E,ML,0.325,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,717015,7,10,W,ML,0.425,0,0,1762,0.0288,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,717016,7,10,E,ML,0.23,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,717019,7,10,W,ML,0.535,0,0,1762,0.0288,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,717020,7,10,E,ML,0.25,0,0,1385,0.0247,68.1,0,0,0,0,0,0
02/15/2022,00:00:00,717022,7,10,E,ML,0.295,0,0,2067,0.0294,70.3,0,0,0,0,0,0
02/15/2022,00:00:00,717026,7,10,W,ML,0.15,0,0,1762,0.0288,68.8,0,0,0,0,0,0
02/15/2022,00:00:00,717028,7,10,E,ML,0.2,336,75,2868,0.0416,66.5,0,0,0,0,0,0
02/15/2022,00:00:00,717029,7,10,W,ML,0.265,0,0,1762,0.0288,68.8,0,0,0,0,0,0
